"Method","samp1","samp2","HeS","HoS","DL","HD","DR"
"CbMPDiCbraya","L1_H0","L4_H5",0.0483439332626598,0.251420384557996,0.488912471580425,0.00952607054895283,0.201797140049967
"CbMPDiCbraya","L1_H0","L4_V1",0.0693876134095202,0.346771607494122,0.323468138562711,0.0177577532620552,0.242614887271591
"CbMPDiCbraya","L1_H0","L4_V2",0.0016966773794017,0.516331640714156,0.230198918636373,0.0216297124660992,0.230143050803971
"CbMPDiCbraya","L1_H0","L4_V3",0,0.37059011120596,0.307564679905793,0.0232671134022798,0.298578095485966
"CbMPDiCbraya","L1_H0","L4_V4",0.035345387844878,0.262228951372639,0.428877830900156,0.0209812756380371,0.25256655424429
"CbMPDiCbraya","L1_H0","L4_V5",0.0328294938040296,0.259283337424154,0.448303150224321,0.0403798384681366,0.219204180079358
"CbMPDiCbraya","L1_H0","L5_H0",0,0.39614805520097,0.459302280811211,0.0212701057276874,0.123279558260132
"CbMPDiCbraya","L1_H0","L5_H1",0.000465462688032766,0.0539089634955584,0.64645244628882,0.0235221246709692,0.27565100285662
"CbMPDiCbraya","L1_H0","L5_H2",0,0.224616357096637,0.373721415926481,0.00607320038895793,0.395589026587924
"CbMPDiCbraya","L1_H0","L5_H3",0.0100872648801238,0.421110532484168,0.324691151402984,0.0107808872777228,0.233330163955001
"CbMPDiCbraya","L1_H0","L5_H4",0.0428647149450426,0.346275403642602,0.431059195346593,0.0232279523420381,0.156572733723725
"CbMPDiCbraya","L1_H0","L5_H5",0.0314956709156909,0.55041692696459,0.163263385241395,0.019649162078033,0.235174854800291
"CbMPDiCbraya","L1_H0","L5_V1",0.0334463867573854,0.421026224332508,0.32652639393877,0.0134098652310704,0.205591129740266
"CbMPDiCbraya","L1_H0","L5_V2",0.0196982154041006,0.320063414719503,0.430267607239532,0.0277314910776555,0.202239271559209
"CbMPDiCbraya","L1_H0","L5_V3",0.0405777778158973,0.277705213687051,0.473252351427339,0.0246657170131635,0.183798940056549
"CbMPDiCbraya","L1_H0","L5_V4",0.0303200835737878,0.184887819675006,0.553895884308234,0.0547568213763567,0.176139391066615
"CbMPDiCbraya","L1_H0","L5_V5",0,0.237795174429253,0.509544710769958,0.0171637666854411,0.235496348115349
"CbMPDiCbraya","L1_H0","L6_H0",0.00336608251190679,0.464354263135643,0.378986370702732,0.01535831208898,0.137934971560738
"CbMPDiCbraya","L1_H0","L6_H1",0,0.648863297542347,0.179107249626917,0.0163552987380285,0.155674154092708
"CbMPDiCbraya","L1_H0","L6_H2",0,0.800704206181337,0.0485399861216824,0.030134614526314,0.120621193170666
"CbMPDiCbraya","L1_H0","L6_H3",0.00628565044775484,0.764065776996512,0.0955847219806384,0.0186080292415661,0.115455821333529
"CbMPDiCbraya","L1_H0","L6_H4",0.0225606173086634,0.73791482350466,0.0747653917495947,0.0203621154900737,0.144397051947009
"CbMPDiCbraya","L1_H0","L6_H5",0,0.413750199150316,0.358947782110478,0.0516769105398725,0.175625108199333
"CbMPDiCbraya","L1_H0","L6_V1",0,0.576985269929594,0.259615163411307,0.0334440696034679,0.129955497055631
"CbMPDiCbraya","L1_H0","L6_V2",0,0.452467245522909,0.443561171571465,0.0184640788858147,0.0855075040198116
"CbMPDiCbraya","L1_H0","L6_V3",0,0.612040969926314,0.238269916307365,0.026128156305171,0.12356095746115
"CbMPDiCbraya","L1_H0","L6_V4",0,0.523402520907685,0.34398282207811,0.019469919398679,0.113144737615526
"CbMPDiCbraya","L1_H0","L6_V5",0,0.575173853907846,0.26409931530251,0.0253108387696163,0.135415992020028
"CbMPDiCbraya","L1_H0","L7_H0",0.00338833304110513,0.604941213285245,0.256613326146164,0.0145608472460187,0.120496280281467
"CbMPDiCbraya","L1_H0","L7_H1",0,0.638385210815925,0.213039301565384,0.0209297622776859,0.127645725341005
"CbMPDiCbraya","L1_H0","L7_H2",0,0.684900264257407,0.135199015659877,0.0182139127231714,0.161686807359545
"CbMPDiCbraya","L1_H0","L7_H3",0.0241141992350886,0.423479582450608,0.38780278831804,0.0119838557265223,0.152619574269742
"CbMPDiCbraya","L1_H0","L7_H4",0,0.436695338606928,0.450265769194347,0.0246859501527968,0.0883529420459286
"CbMPDiCbraya","L1_H0","L7_H5",0.000142493782140846,0.472149397395733,0.312779147249264,0.0496640086171162,0.165264952955747
"CbMPDiCbraya","L1_H0","L7_V1",0.000207652660048069,0.628645984974994,0.258031047763059,0.0148873053200313,0.0982280092818673
"CbMPDiCbraya","L1_H0","L7_V2",0.000142271657321745,0.735307862695412,0.150395640456723,0.0190968111654498,0.0950574140250934
"CbMPDiCbraya","L1_H0","L7_V3",0.00786535910126304,0.670614434372026,0.164680669224933,0.0273334919030851,0.129506045398692
"CbMPDiCbraya","L1_H0","L7_V4",0,0.537709002949645,0.334389203841567,0.019202576121233,0.108699217087556
"CbMPDiCbraya","L1_H0","L7_V5",0,0.727001578830463,0.103789906921477,0.0173369478297576,0.151871566418302
"CbMPDiCbraya","L1_H0","L8_H0",0,0.342938283836926,0.34073669878648,0.0192109447714972,0.297114072605097
"CbMPDiCbraya","L1_H0","L8_H1",0.00203278829420206,0.311771771518143,0.500089900730095,0.0610361856088035,0.125069353848757
"CbMPDiCbraya","L1_H0","L8_H2",0.0023482148163812,0.413397497082208,0.41004516853902,0.0295981406709277,0.144610978891464
"CbMPDiCbraya","L1_H0","L8_H3",0,0.162988527672936,0.644847124341072,0.0200702445012504,0.172094103484742
"CbMPDiCbraya","L1_H0","L8_H4",0,0.121168459137785,0.711352757785979,0.0232267351168455,0.14425204795939
"CbMPDiCbraya","L1_H0","L8_H5",0,0.415437480025328,0.403720494667207,0.00749808019364035,0.173343945113825
"CbMPDiCbraya","L1_H0","L8_V1",0.00310419643520081,0.622968368346688,0.131666418894806,0.058919219950692,0.183341796372614
"CbMPDiCbraya","L1_H0","L8_V2",0,0.20137229239457,0.62124600330897,0.029780484508465,0.147601219787995
"CbMPDiCbraya","L1_H0","L8_V3",0.000741122627322663,0.154043189619856,0.669642160746896,0.0347757704473824,0.140797756558543
"CbMPDiCbraya","L1_H0","L8_V4",0.047505452809404,0.395141020652197,0.424254400811993,0.032687156340465,0.100411969385941
"CbMPDiCbraya","L1_H0","L8_V5",0,0.408484632577767,0.365936514309322,0.0674495445457875,0.158129308567124
"CbMPDiCbraya","L1_H0","L9_H0",0.00376489683261634,0.10628824690086,0.740785495538826,0.032778179482795,0.116383181244903
"CbMPDiCbraya","L1_H0","L9_H1",0.0315509374806256,0.132121836573153,0.687898363929746,0.0419528070561275,0.106476054960348
"CbMPDiCbraya","L1_H0","L9_H2",0.0515823808997101,0.0831081365995327,0.609046851813315,0.0101506666140807,0.246111964073362
"CbMPDiCbraya","L1_H0","L9_H3",0.0780549724178073,0.073790271883281,0.627755380493297,0.0192076185944329,0.201191756611182
"CbMPDiCbraya","L1_H0","L9_H4",0.00989152253717531,0.156689171490614,0.612140590714839,0.046050491812414,0.175228223444957
"CbMPDiCbraya","L1_H0","L9_H5",0.0331918038229922,0.262222605703623,0.585443855513607,0.0575851717080622,0.0615565632517151
"CbMPDiCbraya","L1_H0","L9_V1",0.00320878050954644,0.109374372836047,0.628239580273414,0.0464552996426003,0.212721966738392
"CbMPDiCbraya","L1_H0","L9_V2",0.0288143515602373,0.153990995952915,0.55891980265749,0.0451544204476691,0.213120429381689
"CbMPDiCbraya","L1_H0","L9_V3",0,0.106793065990718,0.684762536794679,0.0714459063495315,0.136998490865071
"CbMPDiCbraya","L1_H0","L9_V4",0.00620544922428789,0.11863600521636,0.664561285132647,0.0413981146324739,0.169199145794231
"CbMPDiCbraya","L1_H0","L9_V5",0,0.0375678122742313,0.7259261642574,0.0448653104172534,0.191640713051115
"CbMPDiCbraya","L1_H1","L1_H2",0.000852362871884442,0.425136885853685,0.459974424127321,0.023484897569353,0.0905514295777563
"CbMPDiCbraya","L1_H1","L1_H3",0.00122173862706756,0.645064292993355,0.185274353666806,0.0476004915961736,0.120839123116598
"CbMPDiCbraya","L1_H1","L1_H4",0,0.352297075066951,0.527258471811394,0.0335273624753239,0.0869170906463314
"CbMPDiCbraya","L1_H1","L1_H5",0,0.333522388801016,0.558407951276156,0.0248229932310477,0.0832466666917798
"CbMPDiCbraya","L1_H1","L1_V1",0.000615442948809197,0.370186480515304,0.505014917934835,0.0311715462707859,0.0930116123302654
"CbMPDiCbraya","L1_H1","L1_V2",0,0.465051948409137,0.441062001254874,0.0580497157405477,0.0358363345954409
"CbMPDiCbraya","L1_H1","L1_V3",0,0.435680335679389,0.474024483792542,0.042366957532489,0.0479282229955795
"CbMPDiCbraya","L1_H1","L1_V4",0,0.511243506991922,0.357200866009075,0.0464508342092003,0.0851047927898035
"CbMPDiCbraya","L1_H1","L1_V5",0,0.564323615440787,0.347219472834973,0.0296694453363464,0.0587874663878941
"CbMPDiCbraya","L1_H1","L10_H0",0,0.0753039833603679,0.835709395140317,0.0330231159811792,0.0559635055181362
"CbMPDiCbraya","L1_H1","L10_H1",0,0.0460283285358894,0.798864343155446,0.0299809835081403,0.125126344800524
"CbMPDiCbraya","L1_H1","L10_H2",0.000269539573341455,0.147567529819452,0.768725598599087,0.0303518924426058,0.0530854395655135
"CbMPDiCbraya","L1_H1","L10_H3",0.000872981230903536,0.684437135249104,0.173761514158028,0.0198724846210641,0.1210558847409
"CbMPDiCbraya","L1_H1","L10_H4",0,0.389236653016176,0.496125235120922,0.0364521406140565,0.0781859712488454
"CbMPDiCbraya","L1_H1","L10_H5",0.00136311182003931,0.102474972979685,0.694728660608452,0.0153389017266645,0.186094352865159
"CbMPDiCbraya","L1_H1","L10_V1",0.128138532521883,0.0427332495571646,0.589536105877587,0.0463885647983202,0.193203547245045
"CbMPDiCbraya","L1_H1","L10_V2",0,0.116612744074883,0.415371204635762,0.0538885464900486,0.414127504799307
