"ID","Bin","TaxonRelativeAbundance","kingdom","phylum","class","order","family","genus","species","Confidence"
"Zotu10681","Bin10",5.77531017208475e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.8868367"
"Zotu17921","Bin10",3.27491215221047e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9051447"
"Zotu10246","Bin10",6.75705000081035e-06,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.7731102"
"Zotu2394","Bin10",4.22587239377044e-05,"Fungi","_Ascomycota","_Dothideomycetes","_Capnodiales","_unidentified","_unidentified","_unidentified","0.9029054"
"Zotu8848","Bin12",4.52112365674075e-06,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","","0.8524163"
"Zotu1252","Bin12",0.000122224974154685,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","_Cladorrhinum_brunnescens","0.7079790"
"Zotu2983","Bin12",4.82182769700523e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","","0.8886410"
"Zotu5000","Bin12",1.42351742468045e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","","0.7614745"
"Zotu909","Bin12",0.000159772630877609,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Podospora","_Podospora_fabiformis","0.9999974"
"Zotu388","Bin12",0.000470387497507438,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","","","","0.9554198"
"Zotu513","Bin12",0.000332716302941345,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","","","","0.9652757"
"Zotu1338","Bin12",9.38033760907131e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","_Cladorrhinum_foecundissimum","0.8796976"
"Zotu4798","Bin12",1.31467887316551e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","_Cladorrhinum_foecundissimum","0.7719376"
"Zotu1283","Bin12",0.000109970812606548,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","_Cladorrhinum_foecundissimum","0.7449269"
"Zotu13899","Bin12",2.49416907532144e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","_Cladorrhinum_foecundissimum","0.7902344"
"Zotu1269","Bin12",0.000109626013210005,"Fungi","_Ascomycota","_Sordariomycetes","_Sordariales","_Lasiosphaeriaceae","_Cladorrhinum","_unidentified","0.9996112"
"Zotu2999","Bin12",3.22830864050589e-05,"Fungi","_Ascomycota","_Sordariomycetes","","","","","0.8622869"
"Zotu549","Bin12",0.000328161235815848,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.9998621"
"Zotu2943","Bin12",3.11654725980213e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.7862328"
"Zotu1886","Bin12",6.97984161963318e-05,"Fungi","_Ascomycota","_Sordariomycetes","_Hypocreales","_Clavicipitaceae","_Metarhizium","_Metarhizium_marquandii","0.9997807"
