	kingdom	phylum	class	order	family	genus	species	Confidence
Zotu15030	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Phaeosphaeriaceae			0.884881006
Zotu15031	Fungi	_Ascomycota	_Sordariomycetes					0.804177974
Zotu15032	Fungi							1
Zotu15033	Fungi							1
Zotu15034	Fungi							1
Zotu15035	Fungi							1
Zotu15036	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae	_Phialophora	_Phialophora_livistonae	0.999997999
Zotu15037	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Cyphellophoraceae	_Cyphellophora	_unidentified	0.967017221
Zotu15038	Fungi							1
Zotu15039	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Cephalothecaceae	_unidentified	_unidentified	0.999853405
Zotu15040	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Lasiosphaeriaceae	_Schizothecium	_Schizothecium_carpinicola	0.820200002
Zotu15041	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.848560065
Zotu15042	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales	_Mycosphaerellaceae	_Zasmidium	_Zasmidium_fructigenum	0.952609709
Zotu15043	Fungi	_Chytridiomycota	_Spizellomycetes	_Spizellomycetales	_Spizellomycetaceae	_Spizellomyces	_Spizellomyces_dolichospermus	0.864308046
Zotu15044	Fungi	_Basidiomycota	_Tremellomycetes	_Tremellales	_Phaeotremellaceae	_Phaeotremella	_unidentified	0.794606264
Zotu15045	Fungi							1
Zotu15046	Fungi	_Ascomycota	_Sordariomycetes	_Coniochaetales	_Coniochaetaceae	_Coniochaeta	_Coniochaeta_discospora	0.985295721
Zotu15047	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae	_unidentified	_unidentified	0.894155584
Zotu15048	Fungi							1
Zotu15049	Fungi	_Basidiomycota						0.966428968
Zotu15050	Fungi	_Rozellomycota	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.999995989
Zotu15051	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.968030211
Zotu15052	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Cordycipitaceae	_Lecanicillium	_Lecanicillium_fungicola	0.936558449
Zotu15053	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae			0.999198551
Zotu15054	Fungi	_Basidiomycota	_Agaricomycetes	_Sebacinales	_Sebacinaceae	_Sebacina	_unidentified	0.998301704
Zotu15055	Fungi	_Chytridiomycota	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.793036722
Zotu15056	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Didymosphaeriaceae	_Didymosphaeria	_unidentified	0.999999996
Zotu15057	Fungi	_Ascomycota						0.760996104
Zotu15058	Fungi							1
Zotu15059	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae			0.992787314
Zotu15060	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales	_Herpotrichiellaceae			0.882504287
Zotu15061	Fungi	_Basidiomycota	_Agaricomycetes	_Cantharellales	_Ceratobasidiaceae	_Thanatephorus	_Thanatephorus_cucumeris	0.982591799
Zotu15062	Fungi	_Basidiomycota	_Agaricomycetes	_Sebacinales	_Serendipitaceae	_Serendipita	_unidentified	0.951021128
Zotu15063	Fungi							1
Zotu15064	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.74327811
Zotu15065	Fungi							1
Zotu15066	Fungi	_Ascomycota	_Dothideomycetes	_Minutisphaerales	_Minutisphaeraceae	_Minutisphaera		0.970770709
Zotu15067	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales				0.999885248
Zotu15068	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales				0.707292522
Zotu15069	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.766581296
Zotu15070	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Clavariaceae	_unidentified	_unidentified	0.993712511
Zotu15071	Fungi							1
Zotu15072	Fungi							1
Zotu15073	Fungi							1
Zotu15074	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Cephalothecaceae	_unidentified	_unidentified	0.999872306
Zotu15075	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.887262015
Zotu15076	Fungi	_Ascomycota	_Eurotiomycetes	_Chaetothyriales				0.750008163
Zotu15077	Fungi							1
Zotu15078	Fungi	_Basidiomycota	_Agaricomycetes	_Auriculariales	_Exidiaceae			0.829145929
Zotu15079	Fungi	_Ascomycota	_Dothideomycetes	_Capnodiales				0.877178135
Zotu15080	Fungi	_Ascomycota	_Pezizomycetes	_Pezizales	_Helvellaceae	_Helvella	_Helvella_lacunosa	0.874556365
Zotu15081	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_Cephalothecaceae	_unidentified	_unidentified	0.999373355
Zotu15082	Fungi							1
Zotu15083	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales	_Hypocreales_fam_Incertae_sedis	_Sporidesmium	_Sporidesmium_melaleucae	0.996847
Zotu15084	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.852264327
Zotu15085	Fungi							1
Zotu15086	Fungi	_Chytridiomycota	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.899835859
Zotu15087	Fungi	_Zoopagomycota	_Zoopagomycetes	_Zoopagales	_Piptocephalidaceae	_Syncephalis	_unidentified	0.997918415
Zotu15088	Fungi							1
Zotu15089	Fungi							1
Zotu15090	Fungi							1
Zotu15091	Fungi							1
Zotu15092	Fungi	_Ascomycota	_Leotiomycetes	_Helotiales	_Hyaloscyphaceae	_Hyaloscypha	_Hyaloscypha_bicolor	0.935105568
Zotu15093	Fungi	_Basidiomycota	_Agaricomycetes	_Agaricales	_Tricholomataceae	_Mycena	_Mycena_maurella	0.713517832
Zotu15094	Fungi	_Ascomycota	_Dothideomycetes	_Pleosporales	_Phaeosphaeriaceae	_Chaetosphaeronema	_unidentified	0.947884182
Zotu15095	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.710686505
Zotu15096	Fungi							1
Zotu15097	Fungi	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	_unidentified	0.835357899
Zotu15098	Fungi							1
Zotu15099	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae	_unidentified	_unidentified	0.759255705
Zotu15100	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae			0.998980013
Zotu15101	Fungi	_Ascomycota	_Sordariomycetes	_Sordariales	_unidentified	_unidentified	_unidentified	0.84217341
Zotu15102	Fungi	_Ascomycota						0.898764634
Zotu15103	Fungi							1
Zotu15104	Fungi							1
Zotu15105	Fungi	_Ascomycota	_Sordariomycetes	_Hypocreales				0.970289443
Zotu15106	Fungi	_Basidiomycota	_GS27	_GS27	_unidentified	_unidentified	_unidentified	0.999727332
Zotu15107	Fungi	_Ascomycota						0.843795746
Zotu15108	Fungi	_Glomeromycota	_Glomeromycetes	_Diversisporales	_Acaulosporaceae	_unidentified	_unidentified	0.783390107
Zotu15109	Fungi	_Glomeromycota	_Glomeromycetes	_Glomerales	_Glomeraceae	_Rhizophagus	_unidentified	0.970696216
Zotu15110	Fungi	_Basidiomycota	_Cystobasidiomycetes	_Cystobasidiales	_Cystobasidiaceae	_Cystobasidium	_Cystobasidium_slooffiae	0.973714385
Zotu15111	Fungi	_Ascomycota	_Orbiliomycetes	_Orbiliales	_Orbiliales_fam_Incertae_sedis	_Vermispora	_unidentified	0.991911986
