	kingdom	phylum	class	order	family	genus	species
Otu11168	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Crepidotaceae	Simocybe	Simocybe_haustellaris
Otu11169	Fungi	Chytridiomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11170	Fungi						
Otu11171	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	unidentified
Otu11172	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Hymenochaetales_fam_Incertae_sedis	Peniophorella	Peniophorella_pubera
Otu11173	Fungi	Ascomycota					
Otu11174	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Peltigeraceae	Peltigera	Peltigera_castanea
Otu11175	Fungi	Basidiomycota	Agaricomycetes				
Otu11176	Fungi	Ascomycota	Orbiliomycetes	unidentified	unidentified	unidentified	unidentified
Otu11177	Fungi	Ascomycota	Dothideomycetes	Capnodiales			
Otu11178	Fungi	Glomeromycota	Paraglomeromycetes	Paraglomerales			
Otu11179	Fungi						
Otu11180	Fungi						
Otu11181	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae	Clavaria	Clavaria_fragilis
Otu11182	Fungi	Basidiomycota	Agaricomycetes	Auriculariales	Exidiaceae		
Otu11183	Fungi						
Otu11184	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Paraphoma	
Otu11185	Fungi	Basidiomycota	Agaricomycetes	Thelephorales	Thelephoraceae		
Otu11186	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Teratosphaeriaceae	Meristemomyces	Meristemomyces_arctostaphylos
Otu11187	Fungi	unidentified	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11188	Fungi	Rozellomycota	unidentified	unidentified	unidentified	unidentified	unidentified
Otu11189	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiales_fam_Incertae_sedis	Cadophora	unidentified
Otu11190	Fungi						
Otu11191	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Marasmius	unidentified
