	kingdom	phylum	class	order	family	genus	species
Otu4257	Bacteria	Proteobacteria	Alphaproteobacteria	Elsterales	URHD0088	uncultured bacterium	
Otu4258	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group		
Otu4259	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	uncultured Bellilinea sp.
Otu4260	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	
Otu4261	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae	uncultured	uncultured Chloroflexi bacterium
Otu4262	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured bacterium
Otu4263	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	uncultured prokaryote
Otu4264	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	uncultured bacterium	
Otu4265	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	uncultured	Ambiguous_taxa
Otu4266	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales			
Otu4267	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Rubinisphaeraceae	SH-PL14	uncultured bacterium
Otu4268	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	AKYH767	metagenome	
Otu4269	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	67-14	uncultured bacterium	
Otu4270	Bacteria	Chloroflexi	Anaerolineae	RBG-13-54-9			
Otu4271	Bacteria	Proteobacteria	Deltaproteobacteria	PB19	metagenome		
Otu4272	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium	Sphingobium sp. W2.10-97
Otu4273	Bacteria	WS2	uncultured Firmicutes bacterium				
Otu4274	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	Gemmata	uncultured bacterium
Otu4275	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	37-13	uncultured bacterium	
Otu4276	Bacteria	Proteobacteria	Alphaproteobacteria	Thalassobaculales	uncultured	metagenome	
Otu4277	Bacteria	Proteobacteria	Alphaproteobacteria	Micropepsales	Micropepsaceae	uncultured	metagenome
Otu4278	Bacteria	Actinobacteria	MB-A2-108				
Otu4279	Bacteria	Acidobacteria	Subgroup 19	uncultured bacterium			
Otu4280	Bacteria	Chloroflexi	Ktedonobacteria	Ktedonobacterales	Ktedonobacteraceae	uncultured	uncultured bacterium
Otu4281	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	uncultured	uncultured bacterium
Otu4282	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Phaselicystidaceae	Phaselicystis	Myxococcales bacterium UTMC 4097
Otu4283	Bacteria	Patescibacteria	Parcubacteria	Candidatus Jorgensenbacteria	Candidatus Adlerbacteria bacterium GW2011_GWC1_50_9		
Otu4284	Bacteria	Chloroflexi	TK10	uncultured bacterium			
Otu4285	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	uncultured	uncultured bacterium
Otu4286	Bacteria						
Otu4287	Bacteria	BRC1	uncultured bacterium				
Otu4288	Bacteria	Dependentiae	Babeliae	Babeliales	Vermiphilaceae	uncultured proteobacterium	
Otu4289	Bacteria						
Otu4290	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Catenulisporaceae	Catenulispora	Ambiguous_taxa
Otu4291	Bacteria	Planctomycetes	Phycisphaerae	Tepidisphaerales	WD2101 soil group	uncultured bacterium	
Otu4292	Bacteria	Planctomycetes	vadinHA49	bacterium UW 659-2-F09			
Otu4293	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Sphingobacteriaceae	Solitalea	Solitalea canadensis
Otu4294	Bacteria	FBP	uncultured bacterium				
Otu4295	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	
Otu4296	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Haliangiaceae	Haliangium	uncultured Kofleria sp.
Otu4297	Bacteria						
Otu4298	Bacteria	Gemmatimonadetes	Gemmatimonadetes	Gemmatimonadales	Gemmatimonadaceae	Gemmatirosa	uncultured bacterium
Otu4299	Bacteria	Planctomycetes	Planctomycetacia	uncultured	metagenome		
Otu4300	Bacteria	Planctomycetes	Phycisphaerae	C86	uncultured planctomycete		
Otu4301	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	Chitinophagaceae bacterium BLB-2F4-1
Otu4302	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Rhodocyclaceae	Candidatus Accumulibacter	uncultured organism
Otu4303	Bacteria	Planctomycetes	Planctomycetacia	Gemmatales	Gemmataceae	uncultured	uncultured bacterium
Otu4304	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Chitinophagaceae	uncultured	
Otu4305	Bacteria	Planctomycetes	Planctomycetacia	Isosphaerales	Isosphaeraceae	uncultured	uncultured Isosphaera sp.
Otu4306	Bacteria						
Otu4307	Bacteria	Chloroflexi	Ktedonobacteria	C0119	uncultured candidate division SAM bacterium		
Otu4308	Bacteria	Firmicutes	Bacilli	Bacillales	Planococcaceae	Paenisporosarcina	
Otu4309	Bacteria	Bacteroidetes	Bacteroidia	Cytophagales	Microscillaceae	uncultured	uncultured soil bacterium
Otu4310	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	uncultured	uncultured bacterium	
Otu4311	Bacteria	Chloroflexi	Chloroflexia	Kallotenuales	AKIW781	uncultured bacterium	
Otu4312	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales			
Otu4313	Bacteria	Bacteroidetes	Ignavibacteria	Kryptoniales	BSV26	uncultured soil bacterium	
Otu4314	Bacteria	Actinobacteria	MB-A2-108	uncultured bacterium			
